date,avg_value
2022-01-01,13.317423611111112
2022-01-02,13.781635416666667
2022-01-03,13.462083333333334
2022-01-04,13.084534722222223
2022-01-05,12.829694444444444
2022-01-06,12.668712230215828
2022-01-07,12.844104166666666
2022-01-08,12.855722222222223
2022-01-09,12.689131944444444
2022-01-10,12.631256944444445
2022-01-11,13.038993055555556
2022-01-12,12.929712230215827
2022-01-13,13.189020833333334
2022-01-14,13.534784722222222
2022-01-15,13.460719424460432
2022-01-16,13.53651798561151
2022-01-17,13.430577205882352
2022-01-18,13.362972222222222
2022-01-19,13.394597222222222
2022-01-20,13.414306338028169
2022-01-21,13.328104166666666
2022-01-22,13.255032608695652
2022-01-23,13.108770833333333
2022-01-24,13.2645
2022-01-25,13.2645
2022-01-26,13.2645
2022-01-28,12.9668
2022-01-29,13.520618055555556
2022-01-30,13.747444444444444
2022-01-31,13.8560625
2022-02-01,13.632715277777777
2022-02-02,13.266875
2022-02-03,13.002395833333333
2022-02-04,12.902663194444445
2022-02-05,13.081895833333334
2022-02-06,13.10473611111111
2022-02-07,12.940590277777778
2022-02-08,13.050194444444445
2022-02-09,13.135527777777778
2022-02-10,13.296951388888889
2022-02-11,13.299230215827338
2022-02-12,13.214172661870503
2022-02-13,13.244562937062938
2022-02-14,13.257826388888889
2022-02-15,13.138402877697843
2022-02-16,12.835611111111112
2022-02-17,12.821
2022-02-18,12.789861111111112
2022-02-19,12.652645833333333
2022-02-20,12.581597222222221
2022-02-21,12.626284722222222
2022-02-22,12.674868055555555
2022-02-23,12.457097222222222
2022-02-24,12.235916666666666
2022-02-25,12.225548611111112
2022-02-26,12.186751908396946
2022-02-27,12.13620744680851
2022-02-28,11.823739726027398
2022-03-01,11.923186507936508
2022-03-02,11.992569444444445
2022-03-03,12.356482014388488
2022-03-04,12.544256944444445
2022-03-05,12.194298611111112
2022-03-06,11.619965277777778
2022-03-07,11.716600694444445
2022-03-08,11.55711111111111
2022-03-09,11.464604166666666
2022-03-10,11.420795138888888
2022-03-11,11.60770138888889
2022-03-12,11.65653125
2022-03-13,11.540569444444444
2022-03-14,11.546823529411764
2022-03-15,11.470722222222221
2022-03-16,11.280666666666667
2022-03-17,10.97638888888889
2022-03-18,10.724743055555555
2022-03-19,10.576006944444444
2022-03-20,10.600118055555555
2022-03-21,10.738923611111112
2022-03-22,10.906472222222222
2022-03-23,10.772645833333334
2022-03-24,10.679986111111111
2022-03-25,10.768100694444444
2022-03-26,10.753565972222223
2022-03-27,10.790711805555555
2022-03-28,11.249194444444445
2022-03-29,11.379965277777778
2022-03-30,11.252201388888889
2022-03-31,11.174555555555555
2022-04-01,11.166020833333333
2022-04-02,11.132388888888888
2022-04-03,11.079420138888889
2022-04-04,11.168486111111111
2022-04-05,10.971725694444444
2022-04-06,10.872159722222221
2022-04-07,10.778409722222221
2022-04-08,10.806555555555555
2022-04-09,10.809510416666667
2022-04-10,10.879805555555556
2022-04-11,11.140128472222223
2022-04-12,11.017569444444444
2022-04-13,10.808430555555555
2022-04-14,10.932472222222222
2022-04-15,10.790222222222223
2022-04-16,10.662923611111111
2022-04-17,10.520513888888889
2022-04-18,10.396756944444444
2022-04-19,10.448215277777777
2022-04-20,10.449409722222223
2022-04-21,10.319038194444444
2022-04-22,10.109729166666666
2022-04-23,9.970430555555556
2022-04-24,9.927715277777779
2022-04-25,9.903895833333333
2022-04-26,10.234541666666667
2022-04-27,10.22788888888889
2022-04-28,10.3815625
